weighting,model,scenario,rank,region_id,region,distance
grouped,MPI-ESM1-2-HR,ssp245,1,US_OK_ENID,Enid Oklahoma,0.38
grouped,MPI-ESM1-2-HR,ssp245,2,US_KS_GARDENCITY,Garden City Kansas,0.593
grouped,MPI-ESM1-2-HR,ssp245,3,US_TX_AMARILLO,Amarillo Texas,0.603
grouped,MPI-ESM1-2-HR,ssp245,4,US_CO_STERLING,Sterling Colorado,1.496
grouped,MPI-ESM1-2-HR,ssp245,5,US_MO_COLUMBIA,Columbia Missouri,1.57
grouped,MPI-ESM1-2-HR,ssp245,6,US_NE_HASTINGS,Hastings Nebraska,1.582
grouped,MPI-ESM1-2-HR,ssp245,7,RU_KRASNODAR,Krasnodar Russia,1.754
grouped,MPI-ESM1-2-HR,ssp245,8,AR_MARCOSJUAREZ,Marcos Juarez Argentina,1.76
grouped,MPI-ESM1-2-HR,ssp245,9,AU_DUBBO,Dubbo Australia,1.777
grouped,MPI-ESM1-2-HR,ssp245,10,RU_STAVROPOL,Stavropol Russia,1.897
grouped,MPI-ESM1-2-HR,ssp245,11,US_TX_WACO,Waco Texas,1.937
grouped,MPI-ESM1-2-HR,ssp245,12,AR_PERGAMINO,Pergamino Argentina,1.94
grouped,MPI-ESM1-2-HR,ssp245,13,AU_WAGGA,Wagga Wagga Australia,2.05
grouped,MPI-ESM1-2-HR,ssp245,14,US_IA_AMES,Ames Iowa,2.121
grouped,MPI-ESM1-2-HR,ssp245,15,ZA_BETHLEHEM,Bethlehem South Africa,2.14
grouped,MPI-ESM1-2-HR,ssp245,16,US_IL_CHAMPAIGN,Champaign Illinois,2.149
grouped,MPI-ESM1-2-HR,ssp245,17,US_MS_GREENVILLE,Greenville Mississippi,2.261
grouped,MPI-ESM1-2-HR,ssp245,18,UA_KROPYVNYTSKYI,Kropyvnytskyi Ukraine,2.303
grouped,MPI-ESM1-2-HR,ssp245,19,UA_POLTAVA,Poltava Ukraine,2.327
grouped,MPI-ESM1-2-HR,ssp245,20,US_ND_FARGO,Fargo North Dakota,2.569
grouped,MPI-ESM1-2-HR,ssp245,21,AU_HORSHAM,Horsham Australia,2.593
grouped,MPI-ESM1-2-HR,ssp245,22,FR_CHARTRES,Chartres France,2.957
grouped,MPI-ESM1-2-HR,ssp245,23,CA_SK_REGINA,Regina Saskatchewan,3.15
grouped,MPI-ESM1-2-HR,ssp245,24,BR_LONDRINA,Londrina Brazil,3.201
grouped,MPI-ESM1-2-HR,ssp245,25,KZ_KOSTANAY,Kostanay Kazakhstan,3.302
grouped,MPI-ESM1-2-HR,ssp245,26,AU_NORTHAM,Northam Australia,3.513
grouped,MPI-ESM1-2-HR,ssp245,27,BR_PASSOFUNDO,Passo Fundo Brazil,3.52
grouped,MPI-ESM1-2-HR,ssp245,28,ES_VALLADOLID,Valladolid Spain,3.894
grouped,MPI-ESM1-2-HR,ssp245,29,ZA_MALMESBURY,Malmesbury South Africa,3.915
grouped,MPI-ESM1-2-HR,ssp245,30,TR_KONYA,Konya Turkey,4.062
grouped,MPI-ESM1-2-HR,ssp585,1,US_OK_ENID,Enid Oklahoma,0.602
grouped,MPI-ESM1-2-HR,ssp585,2,US_TX_AMARILLO,Amarillo Texas,0.726
grouped,MPI-ESM1-2-HR,ssp585,3,US_KS_GARDENCITY,Garden City Kansas,0.813
grouped,MPI-ESM1-2-HR,ssp585,4,US_CO_STERLING,Sterling Colorado,1.723
grouped,MPI-ESM1-2-HR,ssp585,5,US_MO_COLUMBIA,Columbia Missouri,1.828
grouped,MPI-ESM1-2-HR,ssp585,6,US_NE_HASTINGS,Hastings Nebraska,1.854
grouped,MPI-ESM1-2-HR,ssp585,7,AR_MARCOSJUAREZ,Marcos Juarez Argentina,1.872
grouped,MPI-ESM1-2-HR,ssp585,8,US_TX_WACO,Waco Texas,1.891
grouped,MPI-ESM1-2-HR,ssp585,9,AU_DUBBO,Dubbo Australia,1.893
grouped,MPI-ESM1-2-HR,ssp585,10,RU_KRASNODAR,Krasnodar Russia,2.009
grouped,MPI-ESM1-2-HR,ssp585,11,AR_PERGAMINO,Pergamino Argentina,2.119
grouped,MPI-ESM1-2-HR,ssp585,12,RU_STAVROPOL,Stavropol Russia,2.199
grouped,MPI-ESM1-2-HR,ssp585,13,AU_WAGGA,Wagga Wagga Australia,2.238
grouped,MPI-ESM1-2-HR,ssp585,14,US_MS_GREENVILLE,Greenville Mississippi,2.294
grouped,MPI-ESM1-2-HR,ssp585,15,ZA_BETHLEHEM,Bethlehem South Africa,2.375
grouped,MPI-ESM1-2-HR,ssp585,16,US_IA_AMES,Ames Iowa,2.394
grouped,MPI-ESM1-2-HR,ssp585,17,US_IL_CHAMPAIGN,Champaign Illinois,2.426
grouped,MPI-ESM1-2-HR,ssp585,18,UA_KROPYVNYTSKYI,Kropyvnytskyi Ukraine,2.591
grouped,MPI-ESM1-2-HR,ssp585,19,UA_POLTAVA,Poltava Ukraine,2.613
grouped,MPI-ESM1-2-HR,ssp585,20,AU_HORSHAM,Horsham Australia,2.777
grouped,MPI-ESM1-2-HR,ssp585,21,US_ND_FARGO,Fargo North Dakota,2.825
grouped,MPI-ESM1-2-HR,ssp585,22,FR_CHARTRES,Chartres France,3.252
