weighting,model,scenario,rank,region_id,region,distance
equal,MPI-ESM1-2-HR,ssp585,23,ES_VALLADOLID,Valladolid Spain,5.606
equal,MPI-ESM1-2-HR,ssp585,24,BR_LONDRINA,Londrina Brazil,5.685
equal,MPI-ESM1-2-HR,ssp585,25,TR_KONYA,Konya Turkey,5.866
equal,MPI-ESM1-2-HR,ssp585,26,ZA_MALMESBURY,Malmesbury South Africa,5.984
equal,MPI-ESM1-2-HR,ssp585,27,CA_SK_REGINA,Regina Saskatchewan,6.219
equal,MPI-ESM1-2-HR,ssp585,28,FR_CHARTRES,Chartres France,6.307
equal,MPI-ESM1-2-HR,ssp585,29,BR_PASSOFUNDO,Passo Fundo Brazil,6.368
equal,MPI-ESM1-2-HR,ssp585,30,KZ_KOSTANAY,Kostanay Kazakhstan,6.442
equal,MRI-ESM2-0,ssp245,1,US_OK_ENID,Enid Oklahoma,0.733
equal,MRI-ESM2-0,ssp245,2,US_TX_AMARILLO,Amarillo Texas,1.224
equal,MRI-ESM2-0,ssp245,3,US_KS_GARDENCITY,Garden City Kansas,1.266
equal,MRI-ESM2-0,ssp245,4,AU_DUBBO,Dubbo Australia,2.353
equal,MRI-ESM2-0,ssp245,5,AR_MARCOSJUAREZ,Marcos Juarez Argentina,2.545
equal,MRI-ESM2-0,ssp245,6,US_TX_WACO,Waco Texas,2.666
equal,MRI-ESM2-0,ssp245,7,US_CO_STERLING,Sterling Colorado,2.846
equal,MRI-ESM2-0,ssp245,8,AU_WAGGA,Wagga Wagga Australia,3.043
equal,MRI-ESM2-0,ssp245,9,AR_PERGAMINO,Pergamino Argentina,3.088
equal,MRI-ESM2-0,ssp245,10,US_MO_COLUMBIA,Columbia Missouri,3.11
equal,MRI-ESM2-0,ssp245,11,US_NE_HASTINGS,Hastings Nebraska,3.159
equal,MRI-ESM2-0,ssp245,12,RU_KRASNODAR,Krasnodar Russia,3.225
equal,MRI-ESM2-0,ssp245,13,US_MS_GREENVILLE,Greenville Mississippi,3.618
equal,MRI-ESM2-0,ssp245,14,AU_HORSHAM,Horsham Australia,3.781
equal,MRI-ESM2-0,ssp245,15,RU_STAVROPOL,Stavropol Russia,3.918
equal,MRI-ESM2-0,ssp245,16,ZA_BETHLEHEM,Bethlehem South Africa,4.013
equal,MRI-ESM2-0,ssp245,17,US_IA_AMES,Ames Iowa,4.165
equal,MRI-ESM2-0,ssp245,18,AU_NORTHAM,Northam Australia,4.18
equal,MRI-ESM2-0,ssp245,19,US_IL_CHAMPAIGN,Champaign Illinois,4.277
equal,MRI-ESM2-0,ssp245,20,UA_KROPYVNYTSKYI,Kropyvnytskyi Ukraine,4.51
equal,MRI-ESM2-0,ssp245,21,UA_POLTAVA,Poltava Ukraine,4.597
equal,MRI-ESM2-0,ssp245,22,US_ND_FARGO,Fargo North Dakota,4.873
equal,MRI-ESM2-0,ssp245,23,ES_VALLADOLID,Valladolid Spain,5.358
equal,MRI-ESM2-0,ssp245,24,BR_LONDRINA,Londrina Brazil,5.398
equal,MRI-ESM2-0,ssp245,25,TR_KONYA,Konya Turkey,5.606
equal,MRI-ESM2-0,ssp245,26,ZA_MALMESBURY,Malmesbury South Africa,5.716
equal,MRI-ESM2-0,ssp245,27,CA_SK_REGINA,Regina Saskatchewan,5.914
equal,MRI-ESM2-0,ssp245,28,FR_CHARTRES,Chartres France,5.946
equal,MRI-ESM2-0,ssp245,29,BR_PASSOFUNDO,Passo Fundo Brazil,6.021
equal,MRI-ESM2-0,ssp245,30,KZ_KOSTANAY,Kostanay Kazakhstan,6.143
equal,MRI-ESM2-0,ssp585,1,US_OK_ENID,Enid Oklahoma,1.069
equal,MRI-ESM2-0,ssp585,2,US_TX_AMARILLO,Amarillo Texas,1.314
equal,MRI-ESM2-0,ssp585,3,US_KS_GARDENCITY,Garden City Kansas,1.604
equal,MRI-ESM2-0,ssp585,4,US_TX_WACO,Waco Texas,2.353
equal,MRI-ESM2-0,ssp585,5,AU_DUBBO,Dubbo Australia,2.429
equal,MRI-ESM2-0,ssp585,6,AR_MARCOSJUAREZ,Marcos Juarez Argentina,2.857
equal,MRI-ESM2-0,ssp585,7,US_CO_STERLING,Sterling Colorado,3.141
equal,MRI-ESM2-0,ssp585,8,AU_WAGGA,Wagga Wagga Australia,3.196
equal,MRI-ESM2-0,ssp585,9,RU_KRASNODAR,Krasnodar Russia,3.407
equal,MRI-ESM2-0,ssp585,10,AR_PERGAMINO,Pergamino Argentina,3.445
equal,MRI-ESM2-0,ssp585,11,US_MO_COLUMBIA,Columbia Missouri,3.527
equal,MRI-ESM2-0,ssp585,12,US_NE_HASTINGS,Hastings Nebraska,3.582
equal,MRI-ESM2-0,ssp585,13,US_MS_GREENVILLE,Greenville Mississippi,3.648
equal,MRI-ESM2-0,ssp585,14,AU_HORSHAM,Horsham Australia,3.858
equal,MRI-ESM2-0,ssp585,15,AU_NORTHAM,Northam Australia,3.893
equal,MRI-ESM2-0,ssp585,16,RU_STAVROPOL,Stavropol Russia,4.215
equal,MRI-ESM2-0,ssp585,17,ZA_BETHLEHEM,Bethlehem South Africa,4.373
equal,MRI-ESM2-0,ssp585,18,US_IA_AMES,Ames Iowa,4.591
equal,MRI-ESM2-0,ssp585,19,US_IL_CHAMPAIGN,Champaign Illinois,4.672
equal,MRI-ESM2-0,ssp585,20,UA_KROPYVNYTSKYI,Kropyvnytskyi Ukraine,4.788
equal,MRI-ESM2-0,ssp585,21,UA_POLTAVA,Poltava Ukraine,4.896
equal,MRI-ESM2-0,ssp585,22,US_ND_FARGO,Fargo North Dakota,5.25
equal,MRI-ESM2-0,ssp585,23,ES_VALLADOLID,Valladolid Spain,5.393
equal,MRI-ESM2-0,ssp585,24,TR_KONYA,Konya Turkey,5.632
equal,MRI-ESM2-0,ssp585,25,BR_LONDRINA,Londrina Brazil,5.679
equal,MRI-ESM2-0,ssp585,26,ZA_MALMESBURY,Malmesbury South Africa,5.696
equal,MRI-ESM2-0,ssp585,27,CA_SK_REGINA,Regina Saskatchewan,6.239
equal,MRI-ESM2-0,ssp585,28,FR_CHARTRES,Chartres France,6.28
equal,MRI-ESM2-0,ssp585,29,BR_PASSOFUNDO,Passo Fundo Brazil,6.303
equal,MRI-ESM2-0,ssp585,30,KZ_KOSTANAY,Kostanay Kazakhstan,6.425
